代码, 转债名称, 行业, 评级, 现价, 溢价率, 剩余规模, 双低
128100, 搜特转债, 纺织服装-服装家纺-休闲服装, A, 110.299, 7.64, 7.991, 117.94
128013, 洪涛转债, 建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ, A-, 127.667, 0.31, 10.612, 127.98
127003, 海印转债, 商业贸易-商业物业经营-一般物业经营, AA, 122.343, 7.59, 6.736, 129.93
127042, 嘉美转债, 轻工制造-包装印刷Ⅱ-包装印刷Ⅲ, AA, 126.88, 8.79, 7.5, 135.67
128130, 景兴转债, 轻工制造-造纸Ⅱ-造纸Ⅲ, AA, 129.95, 7.24, 9.987, 137.19
128037, 岩土转债, 建筑装饰-专业工程-其他专业工程, AA, 117.148, 20.25, 6.028, 137.4
128087, 孚日转债, 纺织服装-纺织制造-棉纺, AA-, 126.024, 11.86, 6.497, 137.88
128066, 亚泰转债, 建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ, AA-, 119.33, 19.2, 4.798, 138.53
127028, 英特转债, 医药生物-医药商业Ⅱ-医药商业Ⅲ, AA+, 126.957, 12.79, 5.99, 139.75
113610, 灵康转债, 医药生物-化学制药-化学制剂, AA-, 130.09, 10.57, 4.58, 140.66
123080, 海波转债, 建筑装饰-专业工程-钢结构, A+, 129.614, 12.43, 2.435, 142.04
110063, 鹰19转债, 轻工制造-造纸Ⅱ-造纸Ⅲ, AA+, 122.49, 19.56, 18.092, 142.05
113570, 百达转债, 机械设备-通用机械-其它通用机械, A+, 128.96, 13.1, 2.799, 142.06
110043, 无锡转债, 银行-银行Ⅱ-银行Ⅲ, AA+, 122.3, 20.16, 29.214, 142.46
110057, 现代转债, 医药生物-化学制药-化学制剂, AAA, 124.7, 17.84, 16.157, 142.54
110047, 山鹰转债, 轻工制造-造纸Ⅱ-造纸Ⅲ, AA+, 122.07, 20.61, 22.455, 142.68
128107, 交科转债, 建筑装饰-基础建设-路桥施工, AA+, 126, 16.86, 24.997, 142.86
113052, 兴业转债, 银行-银行Ⅱ-银行Ⅲ, AAA, 111.240, 37.8, 500, 149.04
113044, 大秦转债, 交通运输-铁路运输Ⅱ-铁路运输Ⅲ, AAA, 110.93, 20.87, 319.992, 131.8
113609, 永安转债, 汽车-其他交运设备Ⅱ-其他交运设备Ⅲ, AA-, 127.13, 9.98, 7.338, 137.11
